"filename", "language", "Markdown", "PowerShell", "CSS", "HTML", "Python", "pip requirements", "JavaScript", "CMake", "YAML", "Dart", "Swift", "C++", "JSON", "XML", "comment", "blank", "total"
"c:\Users\ultra\Desktop\vscode\full-stack\video reviewer\README.md", "Markdown", 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 136
"c:\Users\ultra\Desktop\vscode\full-stack\video reviewer\app.py", "Python", 0, 0, 0, 0, 159, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 20, 190
"c:\Users\ultra\Desktop\vscode\full-stack\video reviewer\build_fe_debug.ps1", "PowerShell", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\ultra\Desktop\vscode\full-stack\video reviewer\build_fe_final.ps1", "PowerShell", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\ultra\Desktop\vscode\full-stack\video reviewer\frontend\README.md", "Markdown", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"c:\Users\ultra\Desktop\vscode\full-stack\video reviewer\frontend\analysis_options.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 22, 4, 29
"c:\Users\ultra\Desktop\vscode\full-stack\video reviewer\frontend\lib\app\video_reviewer_app.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 4, 31
"c:\Users\ultra\Desktop\vscode\full-stack\video reviewer\frontend\lib\features\video_reviewer\video_reviewer_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 593, 0, 0, 0, 0, 0, 64, 657
"c:\Users\ultra\Desktop\vscode\full-stack\video reviewer\frontend\lib\features\video_reviewer\widgets\placeholder_tab_content.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 4, 27
"c:\Users\ultra\Desktop\vscode\full-stack\video reviewer\frontend\lib\features\video_reviewer\widgets\top_controls_bar.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 103, 0, 0, 0, 0, 0, 4, 107
"c:\Users\ultra\Desktop\vscode\full-stack\video reviewer\frontend\lib\features\video_reviewer\widgets\trimming_tab.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 103, 0, 0, 0, 0, 0, 6, 109
